quote_id,degree_id,code
2576,246,Ethical issues
2161,235,NA
1995,235,Skills
1995,235,Impact
1995,235,Jobs
874,235,Courses
604,217,Requirements
556,217,Impact
556,217,Mission
3370,217,Skills
2149,217,Interdisciplinary
3240,217,Tools
425,217,Interdisciplinary
3244,217,Skills
1671,217,Courses
725,212,Mission
725,212,Impact
285,212,Impact
1367,212,Skills
1259,212,Skills
2097,249,Requirements
289,249,Courses
837,249,Requirements
290,249,Courses
1685,249,Requirements
288,249,Courses
1248,249,Requirements
218,249,Courses
1356,249,Requirements
1570,249,Skills
1570,249,Impact
2407,249,Mission
2223,249,Impact
1166,247,Impact
2096,247,[??]
454,247,Courses
358,247,Requirements
287,247,Courses
231,247,Courses
2752,250,Fluff
2920,250,Target group
1615,250,Target group
2787,250,Requirements
852,250,Courses
3070,251,Mission
3070,251,Impact
2594,251,Skills
688,253,Courses
2010,253,Tools
2508,253,Interdisciplinary
2337,253,Skills
2392,254,Mission
2199,254,Skills
689,254,Courses
453,254,Courses
497,254,Courses
2303,256,Skills
1165,256,Skills
2536,256,Mission
226,256,Definition
1228,256,Impact
2503,257,Mission
771,257,Tools
2881,257,Industry
1315,257,Courses
2611,258,Mission
2611,258,Impact
2611,258,Target group
753,258,Requirements
1770,258,Courses
2749,259,Definition
2495,259,Interdisciplinary
1459,259,Fluff
1459,259,Industry
2496,259,Impact
2219,259,Skills
1760,259,Courses
2728,262,Mission
1903,262,Impact
721,262,Requirements
2089,262,Courses
1815,262,Requirements
820,262,Courses
243,262,[??]
3288,261,Mission
1032,261,Impact
3194,261,Impact
2315,261,Skills
1681,264,Definition
1326,266,Fluff
1450,266,Tools
1450,266,Skills
1873,266,Jobs
2212,266,Courses
2371,266,Skills
1160,267,Skills
3214,267,Courses
2834,269,Mission
2809,270,Mission
2941,270,Skills
1927,270,Tools
870,270,Courses
530,271,Courses
2515,272,Skills
2245,272,Requirements
2595,272,Impact
2595,272,Mission
1312,272,Courses
1192,275,Courses
1841,275,Requirements
1197,275,Courses
958,275,Courses
1198,275,Courses
1196,275,Courses
1193,275,NA
1194,275,Courses
1195,275,Courses
3354,275,Courses
1834,275,[??]
2528,275,Skills
2543,275,Skills
2545,275,Skills
2546,275,Skills
1066,275,Fluff
2529,275,Target group
2432,275,[??]
2889,276,Mission
2459,276,Skills
2385,276,Target group
3085,276,Fluff
3361,276,Skills
1180,276,Industry
1037,276,Ethical issues
2788,277,Mission
2788,277,Interdisciplinary
2381,277,Impact
2381,277,Skills
1310,277,Courses
655,278,Impact
655,278,Skills
2880,278,Skills
679,274,Courses
447,274,Skills
577,274,Mission
2384,274,Impact
1518,265,Skills
472,265,Interdisciplinary
1288,265,Industry
1622,279,Courses
775,279,Courses
1989,279,Courses
3341,279,Courses
1583,279,Courses
2382,279,Skills
2567,279,Mission
2822,281,Target group
3028,281,Courses
3133,281,Courses
2865,281,Courses
2819,281,[??]
1229,281,[??]
1939,281,Courses
1777,281,Definition
1056,281,Ethical issues
2415,283,Mission
3376,283,Skills
2488,283,Skills
3236,284,Skills
3236,284,Impact
3379,286,Skills
2578,286,Fluff
1926,286,Law-policy
1926,286,Ethical issues
1715,286,Courses
645,291,Courses
391,291,Requirements
646,291,NA
1539,291,Mission
1262,291,Jobs
1968,291,Skills
445,291,Requirements
2914,292,Skills
1875,292,Jobs
2915,292,Skills
1876,292,Jobs
2037,292,Courses
2281,294,Requirements
1985,294,Courses
1890,297,Impact
2960,297,Skills
2179,299,Courses
2181,299,Courses
1729,299,Courses
1733,299,Courses
2180,299,Courses
2182,299,Courses
1727,299,Courses
1734,299,Courses
393,299,Requirements
1422,299,Fluff
612,299,Mission
1913,290,Mission
2700,290,Requirements
2818,300,Interdisciplinary
2818,300,Mission
1790,300,Courses
1978,300,Fluff
555,300,Skills
1848,300,Skills
1848,300,Impact
3191,301,Skills
740,303,Mission
3211,303,Skills
1738,303,Skills
1689,303,Courses
862,303,Requirements
2369,303,Requirements
546,303,Courses
1323,303,Courses
3253,304,Skills
1392,304,Courses
2623,305,Mission
534,305,Ethical issues
3253,305,Skills
2425,306,Skills
2425,306,Mission
924,306,Courses
1592,306,Courses
2580,307,Definition
2642,307,Mission
2644,307,Skills
2427,307,Skills
3113,307,Skills
3005,310,Impact
3005,310,Mission
3005,310,Jobs
3002,310,Impact
3002,310,Skills
3144,310,Skills
2034,310,Courses
490,312,Skills
1723,312,Requirements
981,312,Requirements
982,312,Courses
2636,313,Courses
56,314,Courses
829,314,[??]
2984,314,Fluff
3104,314,Accreditation
510,314,Fluff
2985,314,Fluff
1318,314,[??]
1667,314,Mission
1519,314,Mission
772,314,Courses
293,314,Impact
564,314,Fluff
705,314,Jobs
705,314,Impact
1863,314,[??]
878,318,Courses
1430,318,Skills
1413,320,Skills
922,320,Courses
922,320,NA
2689,322,Skills
303,322,Fluff
3187,322,Skills
3139,322,Impact
329,322,Courses
346,323,Courses
3221,323,Skills
2972,323,Mission
2135,326,Courses
320,326,Courses
1776,326,Requirements
1249,326,Requirements
910,326,Requirements
2863,326,Target group
2916,326,Interdisciplinary
3216,326,Broader impact
739,326,Mission
241,326,Definition
3174,326,Impact
3081,327,Mission
2830,327,Target group
1833,327,Industry
2845,329,Mission
2845,329,Impact
3125,329,Target group
3125,329,Impact
1558,329,Courses
549,330,Skills
3252,330,Law-policy
3252,330,Ethical issues
1489,330,Impact
378,331,Mission
514,332,Courses
516,332,Requirements
871,332,Courses
1437,332,Requirements
3302,332,Mission
1411,332,Skills
1401,332,Jobs
2268,333,Skills
491,333,Courses
799,336,Requirements
1827,336,Courses
2144,336,Requirements
3362,337,Skills
3360,337,Industry
3360,337,Jobs
3360,337,Impact
1047,338,Courses
902,339,Courses
1645,339,Mission
1642,339,Skills
2586,339,Mission
1498,339,Skills
2511,340,Mission
3092,340,Skills
2257,344,Mission
1223,344,Courses
1823,347,Requirements
1002,347,Courses
262,347,Mission
334,349,Courses
1131,349,Requirements
1427,349,Skills
2791,349,Target group
2885,349,Mission
826,350,Fluff
250,350,Jobs
1900,350,Skills
2413,350,Skills
2074,350,Courses
2870,352,Jobs
2870,352,Mission
1877,352,Skills
1877,352,Tools
1879,352,Skills
2262,352,Requirements
2052,352,Courses
2909,355,Mission
2909,355,Skills
2877,355,Ethical issues
1014,355,NA
2735,357,Mission
1255,357,Impact
1882,358,Jobs
2753,359,Mission
3006,359,Impact
3006,359,Jobs
1417,359,Jobs
603,359,Impact
603,359,Skills
399,361,Courses
2958,361,Mission
848,364,Courses
719,364,Requirements
2057,365,Courses
754,365,Courses
2391,368,Skills
2171,371,Courses
2966,371,Requirements
3169,371,Requirements
1676,371,Requirements
377,371,Mission
233,371,Target group
360,375,Courses
3337,382,Mission
1106,382,Definition
2334,382,Skills
738,382,Jobs
2246,382,Tools
2276,382,Skills
2072,382,Courses
3126,378,Impact
3127,378,Impact
3128,378,Impact
3129,378,Impact
2737,379,Mission
846,379,Requirements
2950,384,Fluff
1819,384,Mission
388,384,Requirements
957,384,Courses
146,384,Requirements
2544,385,Mission
943,385,Skills
827,385,Ethical issues
1384,385,Ethical issues
1899,386,Impact
748,386,Requirements
2947,394,Mission
566,394,Skills
2290,394,Skills
2292,394,Ethical issues
1206,356,Courses
800,356,Requirements
1554,356,Courses
1013,356,Courses
582,356,Impact
1460,388,Courses
2772,388,Mission
2308,388,Impact
1767,388,Requirements
242,388,Target group
2862,389,Mission
814,389,Definition
2465,389,Industry
984,389,Courses
2634,345,Impact
2634,345,Definition
3374,345,Skills
710,345,Impact
1436,345,Courses
2585,360,Mission
2917,360,Impact
2917,360,Industry
2162,360,Courses
722,381,Requirements
2693,381,Mission
1525,381,Impact
2895,381,Impact
622,370,Courses
720,370,Requirements
2631,367,Mission
1902,367,Impact
1902,367,Skills
1524,367,Requirements
1524,367,Industry
2759,390,Mission
3178,390,Skills
460,390,Target group
461,390,Mission
1433,390,Definition
3010,390,Definition
1711,390,Interdisciplinary
77,390,Courses
3181,390,Requirements
2637,397,Mission
2912,397,Target group
500,397,Fluff
893,397,Courses
1971,397,Courses
3040,399,Mission
3179,399,Skills
1831,399,Skills
2729,400,Mission
1881,400,Industry
1881,400,Interdisciplinary
235,400,Skills
235,400,Mission
2730,400,Mission
295,400,Skills
1132,400,Tools
3160,400,Requirements
2234,400,Requirements
1016,400,Courses
2249,400,Requirements
1707,400,Requirements
1446,402,Mission
2269,402,Interdisciplinary
1973,402,Courses
3238,404,Tools
3251,404,Skills
1019,404,Skills
1537,404,Impact
3235,405,Fluff
608,405,Skills
1265,405,Mission
1477,405,Fluff
3387,405,Impact
3387,405,Skills
801,405,Impact
1025,405,Courses
2317,533,Skills
950,533,Courses
2743,535,Mission
1388,535,Tools
885,535,Impact
1130,535,Skills
1281,535,Courses
1348,535,Courses
591,535,Requirements
1719,535,Requirements
3121,541,Mission
2883,541,Mission
1405,541,Skills
3068,541,Interdisciplinary
795,541,Fluff
2971,541,Fluff
2638,541,Fluff
1708,541,Definition
1529,541,Skills
1528,541,Skills
1527,541,Skills
2328,541,Skills
1713,541,Courses
2901,545,Target group
2603,545,Mission
2603,545,Skills
2038,545,Courses
2483,545,Broader impact
2483,545,Impact
1447,545,Skills
2187,537,Courses
3380,537,Mission
2490,537,Skills
3071,550,Mission
2876,550,Industry
1970,550,Skills
794,550,Courses
