degree_id,degree_level,degree_name,degree_type,degree_url,degree_category,degree_data_sci_flag,department_name,department_type,institution_name,institution_carnegie,institution_state,institution_city
664,masters,M.S. in Business Analytics,Business Analytics,https://business.uic.edu/graduate-programs/graduate-degrees/master-science-business-analytics/,Data,FALSE,Liautaud Graduate School of Business,Business/Management,University of Illinois at Chicago,R1,IL,Chicago
665,masters,Master of Computer Science – Data Science,Data Science,https://cs.illinois.edu/academics/graduate/professional-master-computer-science/online-master-computer-science-data-science,Data,TRUE,Computer Science,Computer Science,University of Illinois at Urbana-Champaign,R1,IL,Champaign
666,masters,Online Master of Computer Science in Data Science,Data Science,https://cs.illinois.edu/academics/graduate/professional-master-computer-science/online-master-computer-science-data-science,Data,TRUE,School of Engineering,Engineering (general),University of Illinois at Urbana-Champaign,R1,IL,Champaign
667,masters,Master of Science in Data Analytics,Data Analytics,https://www.uis.edu/dataanalytics/curriculum/graduate/masters/,Data,FALSE,Computer Science,Computer Science,University of Illinois Springfield,M1,IL,Springfield
671,doctoral,Doctor of Philosophy in Data Science,Data Science,https://soic.iupui.edu/graduate/degrees/data-science/data-science-phd/,Data,TRUE,School of Informatics and Computing,Interdisciplinary,Indiana University-Purdue University-Indianapolis,R2,IN,Indianapolis
672,masters,Master of Science in Applied Data Science,Data Science,https://soic.iupui.edu/graduate/degrees/data-science/data-science-masters/,Data,TRUE,School of Informatics and Computing,Interdisciplinary,Indiana University-Purdue University-Indianapolis,R2,IN,Indianapolis
673,masters,M.S. in Business Analytics,Business Analytics,https://tippie.uiowa.edu/future-graduate-students/masters-programs/business-analytics,Business,FALSE,Tippie College of Business,Business/Management,University of Iowa,R1,IA,Iowa City
674,masters,M.S. in Business Analytics,Business Analytics,https://www.ivybusiness.iastate.edu/masters/business-analytics/,Business,FALSE,College of Business,Business/Management,Iowa State University,R1,IA,Ames
675,certificate,Certificate in Data Science,Data Science,https://www.datascience.iastate.edu/certificate,Data,TRUE,Data Science Program,Data Science,Iowa State University,R1,IA,Ames
677,masters,M.S. in Government Analytics,Other,https://advanced.jhu.edu/academics/graduate-degree-programs/government-analytics/,Social,FALSE,Krieger School of Arts & Sciences,Interdisciplinary,Johns Hopkins University,R1,MD,Baltimore
678,masters,M.S. in Data Science,Data Science,https://ep.jhu.edu/programs-and-courses/programs/data-science,Data,TRUE,Whiting School of Engineering,Engineering (general),Johns Hopkins University,R1,MD,Baltimore
679,certificate,Post Master’s Certificate in Data Science,Data Science,https://ep.jhu.edu/programs-and-courses/programs/data-science,Data,TRUE,Whiting School of Engineering,Engineering (general),Johns Hopkins University,R1,MD,Baltimore
680,masters,Master of Science in Data Analytics,Data Analytics,https://www.jwu.edu/academics/programs-by-campus/providence-programs/data-analytics-ms.html,Data,FALSE,Providence Programs,Other,Johnson & Wales University,M1,RI,Providence
681,certificate,Graduate Certificate in Data Science,Data Science,https://catalog.ku.edu/engineering/electrical-engineering-computer-science/certificate-data-science/,Data,TRUE,Department of Electrical Engineering & Computer Science,Engineering (general),University of Kansas,R1,KS,Lawrence
682,masters,M.S. in Applied Statistics and Analytics,Applied Statistics,https://edwardscampus.ku.edu/overview-masters-applied-statistics-analytics,Math,FALSE,Medical Center,Health Informatics,University of Kansas Edwards Campus,R1,KS,Lawrence
684,certificate,Graduate Certificate in Data Analytics,Data Analytics,https://global.k-state.edu/business/analytics/,Data,FALSE,College of Business Administration,Business/Management,Kansas State University,R1,KS,Manhattan
686,masters,M.S. in Business Analytics,Business Analytics,https://www.kent.edu/business/msba,Business,FALSE,College of Business Administration,Business/Management,Kent State University,R2,OH,Kent
687,masters,Master of Digital Sciences- Data Science,Data Science,https://www.kent.edu/dsci/graduate,Data,TRUE,School of Digital Sciences,Other,Kent State University,R2,OH,Kent
695,masters,M.S. in Business Analytics,Business Analytics,https://business.louisville.edu/academics-programs/graduate-programs/msba/,Business,FALSE,College of Business,Business/Management,University of Louisville,R1,KY,Louisville
699,masters,Master of Science in Computer Science – Data Science,Data Science,https://compro.mum.edu/data-science/,Data,TRUE,Computer Professional Program,Computer Science,Maharishi University of Management,M1,IA,Fairfield
